Nova Sequência 2016
745_Artesanato
770_Fotografia
780_Música
790_Esportes
791.4_Cinema
791.45_Televisão
808.8_Horror
808.81_Poesias
808.82_Teatro
808.83_Novelas
808.831_Contos
808.832_Policial
808.838_Ficção Cientifica
808.839_Realismo Fantástico
808.84_Ensaios
808.85_Discursos
808.86_Cartas
808.87_Humor
808.88_H.Q (História em Quadrinhos )
808.883_Diários
808.887_Parábolas
808.887_Máximas
808.888_Crônicas
Série Para Gostar de Ler
Série Para Gostar de Ler Júnior
Série Reencontro
Série Reencontro Júnior
Série Vagalume
Série Vagalume Júnior
808.89_Literatura Infanto Juvenil
Mangás 
813_Literatura Americana
819.1_Literatura Canadense
823_Literatura Inglesa
A823_Literatura Australiana
I823_Literatura Irlandesa
N823_Literatura Nigeriana
NE823_Literatura Neozelandes
828_Literatura Escocesa
833_Literatura Alemã
833.92_Literatura Bulgara
839.31_Literatura Holandesa
839.5_Literatura Escandinava
839.7_Literatura Sueca
839.81_Literatura Dinamarquesa
839.823_Literatura Norueguesa
843_Literatura Francesa
B843_Literatura Belga
849.4_Literatura Suiça
853_Literatura Italiana
859.4_LITERATURA ROMENA
Ar860_Literatura Argentina
BO860_Literatura Boliviana
C860_Literatura Cubana
Ca860_Literatura Catalã
Ch860_Literatura Chilena
CO860_Literatura Colombiana
ES860_Literatura Espanhola
EQ860_Literatura Equatoriana
M860_Literatura Mexicana
Gua860_Literatura Guatemala
Pe860_Literatura Peruana
U860_Literatura Uruguaia
869.3_Literatura Portuguesa
A869.3_Literatura Angolana
G869.3_Literatura Guineense
M869.3_Literatura Moçambicana
869.93_Literatura Brasileira
870_Literatura Latina
883_Literatura Grega
891_LIteratura Russa
891.4_Literatura Indiana
891.5_Literatura Iraniana
891.593_Literatura Afegã
891.82_Literatura Iugoslava
891.85_Literatura Polonesa
891.863_Litearatura Eslovaca
891.99_Literatura Albanesa
892.3_Literatura Arabe
892.4_Literatura Israelense
892.7_Literatura Egípcia
894_Literatura Hungara
894.35_Literatura Turca
894.5_Literatura Finlandesa
895.1_Literatura Chinesa
895.6_Literatura Japonesa
895.7_LITERATURA COREANA
896_Literatura Africana
"909_História Geral ( Europa, civilização, civilização antiga, arqueologia, África, Egito,revolução russa, oriente médio, guerras, holocausto, etc...)"
910_Descrição de Viagens
"912_Geografia (Geografia do Brasil, do mundo, geral)"
918.16_São Paulo
920_Biografias
940.3_Guerras
980.41_Índios
981_HISTÓRIA DO BRASIL
D011.37_Multimídia
