,name,birth_death,pha,pha_label,observation
,"Alvarez, Josefa Rosalía Luque [Hilarião de Monte Nebo]",,474,A474,
,"Alvarez, Rodrigo",,475,A475,
,"Alvarez, Walter C.",,475,A475,
,"Alverga, Alex Polari de",,476,A476,
,"Alves Junior, Edmundo de Drummond ",,479,A479,
,"Alves, Afonso Telles",,477,A477,
,"Alves, Ave Terrena",,477,A477,
,"Alves, Branca Moreira",,477,A477,
,"Alves, Castro",,478,A478,
,"Alves, Felipinho Gabriel",,479,A479,
,"Alves, Fernando",,479,A479,
,"Alves, Henrique L.",,479,A479,
,"Alves, J.",,479,A479,
,"Alves, Januária Cristina",,479,A479,
,"Alves, Júlia Falivene",,479,A479,
,"Alves, Júlio Carlos",,479,A479,
,"Alves, Marcio Moreira",,48,A48,
,"Alves, Monica",,48,A48,
,"Alves, Monica Fleischer",,48,A48,
,"Alves, Nancy",,481,A481,
,"Alves, Nércio Antônio",,481,A481,
,"Alves, Nilda",,481,A481,
,"Alves, Renato",,482,A482,
,"Alves, Rubem",,482,A482,
,"Alves, Tania",,482,A482,
,"Alves, Walter Oliveira",,482,A482,
,"Amabis, José Mariano",,488,A488,
,"Amadio, Alberto Carlos",,489,A489,
,"Amado, Genolino",,494,A4943,DECIMAL ADICIONADO
,"Amado, Gilberto",,494,A4942,DECIMAL ADICIONADO
,"Amado, Janaina",,494,A4941,DECIMAL ADICIONADO
,"Amado, Jorge",,494,A494,
,"Amadou, Robert",,495,A495,
,"Amancio, Aluir",,499,A499,
,"Amaral, Afrânio do ",,512,A512,
,"Amaral, Alcides",,512,A512,
,"Amaral, Amadeu",,512,A512,
,"Amaral, Antonio Barreto do",,512,A512,
,"Amaral, Antônio Carlos Cintra do",,512,A512,
,"Amaral, Antonio Henrique",,512,A512,
,"Amaral, Aracy",,512,A512,
,"Amaral, Dado",,512,A512,
,"Amaral, Diogo Freitas do",,512,A512,
,"Amaral, Emília",,512,A513,Foi escolhido o número 513 para autora
,"Amaral, José",,514,A514,
,"Amaral, Lygia Barbiére",,515,A515,
,"Amaral, Maria Adelaide",,515,A515,
,"Amaral, Maria Lúcia",,515,A515,
,"Amaral, Ricardo",,517,A517,
,"Amaral, Tarsila do",,518,A518,
,"Amaral, Tatiana",,518,A518,
,"Amarilha, Marly",,521,A821,
,"Amaro, Luciano",,522,A522,
,"Amaro, Lucília",,522,A522,
,"Amaro, Rolim Adolfo",,522,A522,
,"Ambler, Eric",,528,A528,
,"Ambridge, Ben",,528,A528,
,"Ameal, João",,532,A532,
,"Amed, Fernando José",,532,A532,
,"Amélia, Clara",,534,A534,
,"Amélia, Maria",,534,A534,
,"Amendola, João",,534,A534,
,"Amengual, Claudia",,534,A534,
,American Geological Institute,,537,A537,
,"Amin, Esperidião",,539,A539,
,"Amiot, François",,539,A539,
,"Amiralian, Maria Lúcia T. M.",,539,A539,
,"Amirrezvani, Anita",,539,A539,
,"Amis, Kingsley",,539,A539,
,"Amis, Martin",,539,A539,
,"Ammaniti, Niccolò",,539,A539,
,"Ammann, Safira Bezerra",,539,A539,
,"Amo, Montserrat Del",,539,A539,
,"Amodio, Emanuele",,539,A539,
,"Amora, Antônio Soares",,541,A541,
,"Amorim, Anaximandro",,543,A543,
,"Amorim, Antônio",,543,A543,
,"Amorim, Antonio Carlos Bellini",,543,A543,
,"Amorim, Carlos",,543,A543,
,"Amorim, Francisco Gomes",,543,A543,
,"Amorim, Gomes de",,543,A543,
,"Amorim, Luiz Carlos",,544,A544,
,"Amorim, Maria Luísa",,544,A544,
,"Amorim, Maria Stella",,544,A544,
,"Amorim, Patrícia",,544,A544,
,"Amorim, Paulo Henrique",,544,A544,
,"Amoroso, Eliane Andrade",,547,A547,
,"Amory, Cleveland",,547,A547,
,"Amos, Eduardo",,547,A547,
,"Amos, William E.",,547,A547,
,"Amstalden, Conrado",,548,A548,
,"Amster, Gerald",,548,A548,
,"Amzalak, José Luiz",,549,A549,
,"Anami, Koremasa",,551,A551,
,"Anastasi, Anne",,552,A552,
,"Anastasiou, Léa das Graças Camargos",,552,A552,
,"Anchieta, José de",,554,A554,
,"Andahazi, Federico",,556,A556,
,"Ande, Edna",,557,A557,
,"Andersen, Hans Christian",,56,A56,
,"Andersen, U. S.",,56,A56,
